tau1,tau2,tau3,tau4,p1,p2,p3,p4,g1,g2,g3,g4,stabf
1.39758627237732,6.24331290294528,1.43712596584002,5.45572180910966,3.84266622683796,-0.844914948855445,-1.3735592351182,-1.62419204286431,0.633491372485338,0.232255506862882,0.309908530520464,0.401737282337882,stable
0.746321742189908,6.827534697269,2.38485358198285,5.32819366885631,3.26153791579896,-0.880154125106102,-1.19768746973389,-1.18369632095897,0.994015979627641,0.798032484301387,0.119685437514404,0.317555159267038,stable
4.09988821748204,2.02175657618894,1.32269437955946,8.89048586896873,3.75634621297543,-1.03311086055393,-0.795675161860045,-1.92756019056145,0.20940368229317,0.865294918772804,0.623800108354264,0.690978357247957,stable
2.86635189110644,2.0929160604391,6.86649849503803,3.06106252413956,3.39877987698133,-1.77470682593846,-1.02747135762005,-0.596601693422825,0.542000027741435,0.278568382795409,0.717034570162126,0.420692354588527,stable
2.54645662931373,1.9661656563621,3.36227921902492,9.61095980690967,3.79404866469574,-0.527037840206502,-1.76498149495255,-1.50202932953669,0.657733739144643,0.593153486140214,0.171490641116417,0.275185725569491,stable
5.43585116213803,1.32300413715788,3.17034309310692,1.59357568400503,4.94059742076527,-1.90604855301729,-1.13986952523567,-1.89467934251231,0.468334607668575,0.806146860693889,0.915987340693896,0.261954868014696,stable
1.59673593221395,5.74404397684325,5.88829533500919,2.43439187667256,3.76236357737094,-1.01935060271331,-0.869846135225194,-1.87316683943244,0.769446523140435,0.733218156812914,0.0969157004530286,0.159049987363392,stable
2.82857708936036,1.90513414829838,1.74186241734542,4.6985452392839,2.61582037476509,-0.608033026230882,-0.988046740642202,-1.01974060789201,0.389824013257355,0.555679863966978,0.260908226542186,0.740907317561401,stable
3.97168920020263,4.09106174004511,7.02820644856135,6.68836441832276,3.07727815662597,-1.48798129377492,-1.08909857955913,-0.500198283291923,0.123106837652561,0.403792163422218,0.367853601839427,0.195829316520065,stable
1.21105182136673,9.73026463122634,6.43262481837007,4.21519831787574,3.07769099936259,-0.521836277847504,-0.577083132302691,-1.97877158921239,0.484574566371602,0.493717164534391,0.168288283896671,0.649921779420136,stable
9.45248119897969,6.30280724086328,0.517616977998393,1.56092226660124,2.92054205621373,-1.4737739860602,-0.750391356821126,-0.696376713332406,0.33297655263847,0.657613540159303,0.541390122778378,0.309462107397221,stable
6.3447142025761,1.599074022417,2.19990947350261,3.9695813777865,4.1931440682856,-1.51764118649177,-1.27163499918487,-1.40386788260896,0.474086214454978,0.699973191452803,0.416798715501715,0.115140815804277,stable
2.54155043135062,0.521421089851332,9.43752192434428,8.56584209013753,5.18948555379552,-1.6980174033733,-1.99486320046489,-1.49660494995733,0.539580063147615,0.41922833595289,0.125593314683619,0.578337381805305,stable
1.32847089947494,7.56130727844411,4.75374925373077,6.98137710613728,4.76800377168171,-1.55833437067651,-1.8051487795372,-1.404520621468,0.828858444947533,0.412678793428546,0.574555928760874,0.210110350311082,stable
0.950520658464194,1.45436346246504,5.82129314142948,6.53679128402688,3.06622475133192,-1.6428735363283,-0.699569640111446,-0.723781574892171,0.16400102055674,0.189415654578604,0.433873231533692,0.644768460390774,stable
1.35768861754372,3.0441253706021,3.99091589064253,6.77102087787958,4.44689591074308,-1.71633019681834,-1.23635675616834,-1.4942089577564,0.254983946123279,0.0686209123600728,0.228935421979142,0.124398651338965,stable
9.89537437614005,5.21836820336507,1.88952061821142,1.04913353852475,2.85435604743885,-0.687905275951314,-1.62213764968156,-0.54431312180598,0.401010348211249,0.406739930487187,0.662519884291785,0.33603603317212,stable
8.96633654382577,9.38369946681865,0.634768946207699,6.52740269986398,4.02285146966184,-1.77659783677934,-0.780194609482365,-1.46605902340014,0.167651800064272,0.210657454966963,0.845621513141558,0.718452660534278,stable
8.57469614208519,1.52751255980178,2.17292190645509,3.11223617017991,4.60426991425927,-1.46536464889729,-1.97371227855162,-1.16519298681036,0.225598711726742,0.968512480309849,0.17750491466,0.748345740706794,stable
0.813924559472978,8.82789322272819,2.17396994490346,4.58224720551609,3.0049854876414,-1.00705758387201,-1.40284901835338,-0.595078885416011,0.825753106569667,0.86754877170263,0.559801639635492,0.415632434702197,stable
1.72300757866884,1.50850413136769,8.45179741993123,7.79482870905262,4.19455937430201,-1.86871585933561,-1.69238913264275,-0.633454382323648,0.193444187121595,0.372306724080204,0.207689078007354,0.729924562533665,stable
1.88200071966788,2.6432846284411,9.69541877641229,3.93443747294289,3.81851867854254,-1.49291222409294,-0.97405280360257,-1.35155365084703,0.648317116209985,0.334389484906333,0.328191559276315,0.442264877106453,stable
4.94904066562236,2.05193715403076,1.39734814527257,8.89449090683691,2.52527221126487,-0.705790261860611,-0.932123049982556,-0.887358899421699,0.120855173513611,0.331369630723523,0.287641493295295,0.792260762976941,stable
7.6964903648458,8.21695625209589,1.9209106425665,4.08899248916443,3.29313002670316,-0.576375562400394,-1.56247536050354,-1.15427910379923,0.432492957529823,0.288224112291259,0.436303028296345,0.4465735870187,stable
9.01929309211074,8.62742612879857,5.08374186026879,2.04289813867026,3.16114470384879,-0.520002397220454,-1.79962023632961,-0.841522070298728,0.147038670613165,0.724111797955127,0.068942801705501,0.397242953902018,stable
8.0980920930617,0.754307164061151,2.23632334637776,9.49662651316515,4.02773800161848,-0.67367076867274,-1.62410959680018,-1.72995763614556,0.478564336493841,0.969239655019853,0.440446629054539,0.77558005825683,stable
4.7719810326278,9.69801859760424,4.9676318035542,1.5354888107188,3.03234441616615,-1.5204290642669,-0.712612515905825,-0.799302835993422,0.521074769080025,0.24598924720893,0.052578764879494,0.604696637444426,stable
5.45937037470445,9.82232342642885,1.59162925813935,6.16450160488852,3.38265159841943,-1.23480997917328,-1.59508056713488,-0.552761052111268,0.625932730559906,0.406117111877528,0.334007846036976,0.103629312961312,stable
1.08965786588336,7.7956728560259,1.91713710750151,3.0890652962461,2.32738076139075,-0.9168780462472,-0.531420678109606,-0.879082037033944,0.175837127716128,0.797175537931742,0.573722621793334,0.239462109321922,stable
0.9087306770058,5.01100719477383,5.82202989383457,2.36491687989811,3.15981697184615,-0.586204607889568,-0.77311220115372,-1.80050016280286,0.0726377349014487,0.253500649373283,0.415302935994291,0.268896738256505,stable
9.01239778539146,0.830045645307179,3.97990347318546,3.44728191743634,3.79160217038251,-1.15827570468542,-1.84881225527587,-0.784514210421219,0.265416864182691,0.574214735499466,0.67938827794445,0.250917475812052,stable
2.41102203539999,3.4245140154973,9.9780455428836,2.7786486435716,3.23350879048,-0.98224694166237,-1.09349676115415,-1.15776508766348,0.160714737039822,0.506509137417537,0.41727780663023,0.934988651045288,stable
9.43522126487414,2.79943798685819,0.976692688262858,4.63054217446711,3.66434583982005,-1.58522000451551,-0.901113391659583,-1.17801244364496,0.776454132424985,0.576504425985613,0.881715564019618,0.729576304150543,stable
1.34809142174646,8.61889883585378,3.22979585456417,3.14215709965195,4.43959658640982,-1.98119184911561,-1.52594481548605,-0.932459921808157,0.714943000842324,0.87251199913747,0.119761619171672,0.871281108747596,stable
7.98434122115776,5.99304859084643,0.528359510443662,3.73911138273353,5.20611788679458,-1.79017489163119,-1.51559161238279,-1.9003513827806,0.352067243454606,0.433675963398861,0.737101234309345,0.082757728634096,stable
3.15588999533224,1.48167964541327,0.989421376573737,9.50204220949874,3.3767536096876,-1.42927574758929,-0.878882325003704,-1.06859553709461,0.533861821466994,0.900089637813272,0.863526492679998,0.409224295066013,stable
6.23250419046039,8.19837873369093,2.73080668256538,1.056723984396,3.64807733367181,-1.20649037484056,-1.4505936548329,-0.99099330399835,0.458146170869636,0.0875318484906247,0.421842246284857,0.756978373307627,stable
1.85746684865978,7.74421136080299,2.91509346458233,3.89582471605681,3.87004750730752,-1.77040064442009,-1.40124880003098,-0.698398062856449,0.126217032000851,0.129223024597964,0.636701053576564,0.422661401087558,stable
7.85037320999517,4.18627749634502,1.28629564278328,1.74596185499735,3.60031244114241,-1.05748958498866,-1.74006439802598,-0.802758458127768,0.550979649788275,0.168255893091366,0.734540611858051,0.44012534050406,stable
9.49203760559229,5.84099601263746,7.57803970783011,8.24608285767471,2.59927867536665,-1.1674157457798,-0.841136499584792,-0.590726430002053,0.0515442788076471,0.536431363531693,0.358340166505742,0.0930623806994245,stable
9.51993879815413,0.551959675498284,6.57827841761661,7.92511399256069,3.01125791423359,-0.730116138379148,-0.893929724995512,-1.38721205085893,0.318154716690079,0.730767789565548,0.502207624350982,0.475496691181569,stable
1.27836386603399,7.69568800694887,0.734768995901907,9.92201462599698,4.62411992308841,-0.943555712822697,-1.76942962851105,-1.91113458175466,0.558158407067722,0.477209832209508,0.928310940172122,0.577100603880149,stable
2.92919909289564,7.64334413051116,3.17233260009573,1.76700628961698,3.01891286834898,-0.850014442599216,-1.12686964820317,-1.04202877754659,0.438124056330251,0.686024776923548,0.517139197864974,0.087093561956425,stable
3.21421893156691,2.97200444068271,1.58795895269138,5.32204025191471,4.13028065640947,-1.05547861937342,-1.45466198417549,-1.62014005286056,0.435861338199077,0.721029997878291,0.207750157644064,0.070476614981615,stable
5.3367334757569,3.51025344831124,4.46007126825546,8.16172196693351,5.06167284929302,-1.57109349565583,-1.57343293712455,-1.91714641651264,0.269851287192046,0.313984278751484,0.194086321807393,0.546503609362242,stable
2.31523827748301,6.21719325301288,6.02395665114063,2.95244498547891,3.49098674512409,-1.59632680897336,-1.12172071826631,-0.772939217884419,0.787039398585658,0.298552093541118,0.430208998734728,0.427883092942265,stable
5.7133870725697,6.67375167449157,5.11967522085801,5.11651681501969,2.88102112645309,-0.964392746853502,-0.601280967934034,-1.31534741166555,0.193147642107061,0.373017348909542,0.154446416779397,0.254889038192207,stable
2.66993356472955,3.45813758729063,1.08723872445197,2.88111354797209,3.8741545227141,-1.68076985064682,-0.938605083566892,-1.25477958850039,0.773487101443057,0.223531684444471,0.17973438640221,0.357684530913972,stable
