Model,Run Index,ACC,MCC,Partition Time
NCA+PSO,1,0.46,0.0,1768.2813885211945
NCA+PSO,1,0.56,0.3349974479820061,1752.5761637687683
NCA+PSO,1,0.8,0.0,1739.9246113300323
NCA+PSO,1,0.82,0.0,1703.010799407959
NCA+PSO,1,0.88,0.0,1774.198822259903
NCA+PSO,2,0.44,0.0,1703.747156381607
NCA+PSO,2,0.6,0.4037385450044705,1799.9143590927124
NCA+PSO,2,0.79,0.0,1714.0027561187744
NCA+PSO,2,0.83,0.0,1819.9284760952
NCA+PSO,2,0.87,0.0,1711.0923781394958
NCA+PSO,3,0.48,0.0,1661.5894439220428
NCA+PSO,3,0.62,0.4206598774666869,1856.829670906067
NCA+PSO,3,0.84,0.0,1564.6877672672272
NCA+PSO,3,0.89,0.0,1862.3889758586884
NCA+PSO,3,0.87,0.0,1785.975465297699
NCA+PSO,4,0.29,0.0,1724.059942483902
NCA+PSO,4,0.62,0.4206598774666869,1887.873463153839
NCA+PSO,4,0.82,0.0,1817.5405399799347
NCA+PSO,4,0.85,0.0,1793.2261610031128
NCA+PSO,4,0.93,0.0,1752.8204717636108
NCA+PSO,5,0.38,0.0,1861.2426047325127
NCA+PSO,5,0.67,0.4653216269680752,1766.7294516563416
NCA+PSO,5,0.81,0.0,1759.6979899406433
NCA+PSO,5,0.9,0.0,1800.2789661884308
NCA+PSO,5,0.86,0.0,1832.6375875473025
