Model,Run Index,ACC,MCC,Partition Time
NCA+PSO,1,0.39,0.0,725.0469987392426
NCA+PSO,1,0.62,0.4206598774666869,749.1020324230194
NCA+PSO,1,0.86,0.0,686.3136074542999
NCA+PSO,1,0.87,0.0,702.3939998149872
NCA+PSO,1,0.87,0.0,672.7840752601624
NCA+PSO,2,0.45,0.0,773.2966413497925
NCA+PSO,2,0.59,0.3954473426678263,671.3748009204865
NCA+PSO,2,0.82,0.0,736.6234092712402
NCA+PSO,2,0.86,0.0,723.8425536155701
NCA+PSO,2,0.87,0.0,744.1155529022217
NCA+PSO,3,0.46,0.0,733.6854538917542
NCA+PSO,3,0.62,0.4206598774666869,756.12091755867
NCA+PSO,3,0.8,0.0,685.5350589752197
NCA+PSO,3,0.93,0.0,757.997367143631
NCA+PSO,3,0.86,0.0,734.1415121555328
NCA+PSO,4,0.44,0.0,719.4221596717834
NCA+PSO,4,0.57,0.3791667487231914,769.3943123817444
NCA+PSO,4,0.84,0.0,829.4196300506592
NCA+PSO,4,0.9,0.0,719.2720241546631
NCA+PSO,4,0.85,0.0,713.3098454475403
NCA+PSO,5,0.5,0.0,730.3290820121765
NCA+PSO,5,0.54,0.3183661352811228,756.9106252193451
NCA+PSO,5,0.84,0.0,810.6017293930054
NCA+PSO,5,0.83,0.0,863.8007085323334
NCA+PSO,5,0.87,0.0,719.0401840209961
