Model,Run Index,ACC,MCC,Partition Time
NCA+PSO,1,0.32,0.0,474.0806338787079
NCA+PSO,1,0.62,0.4206598774666869,513.0443296432495
NCA+PSO,1,0.84,0.0,447.0045118331909
NCA+PSO,1,0.85,0.0,525.326390504837
NCA+PSO,1,0.82,0.0,452.5535304546356
NCA+PSO,2,0.33,0.0,486.5170886516571
NCA+PSO,2,0.58,0.3872591403348931,492.9477770328522
NCA+PSO,2,0.82,0.0,475.0805175304413
NCA+PSO,2,0.89,0.0,487.4059574604034
NCA+PSO,2,0.87,0.0,474.46977162361145
NCA+PSO,3,0.53,0.0,462.1926703453064
NCA+PSO,3,0.65,0.4470090614872018,490.8248593807221
NCA+PSO,3,0.83,0.0,475.4252059459686
NCA+PSO,3,0.84,0.0,472.69730949401855
NCA+PSO,3,0.9,0.0,469.2750542163849
NCA+PSO,4,0.42,0.0,494.31255173683167
NCA+PSO,4,0.54,0.3553952630135348,502.7833626270294
NCA+PSO,4,0.82,0.0,543.2791657447815
NCA+PSO,4,0.85,0.0,484.03987646102905
NCA+PSO,4,0.86,0.0,451.13816833496094
NCA+PSO,5,0.47,0.0,452.24736857414246
NCA+PSO,5,0.5,0.3246314507492003,468.3969798088074
NCA+PSO,5,0.8,0.0,493.568101644516
NCA+PSO,5,0.83,0.0,571.3160829544067
NCA+PSO,5,0.85,0.0,414.7772703170776
