Model,Run Index,ACC,MCC,Partition Time
NCA+PSO,1,0.49,0.0,1331.1702859401703
NCA+PSO,1,0.56,0.3711631726411764,1392.122997045517
NCA+PSO,1,0.77,0.0,1482.4850318431854
NCA+PSO,1,0.86,0.0,1302.9450299739838
NCA+PSO,1,0.87,0.0,1397.2866003513336
NCA+PSO,2,0.41,0.0,1451.586963415146
NCA+PSO,2,0.53,0.3476176199891176,1394.968248605728
NCA+PSO,2,0.78,0.0,1415.5941581726074
NCA+PSO,2,0.88,0.0,1377.709034204483
NCA+PSO,2,0.81,0.0,1416.5255222320557
NCA+PSO,3,0.35,0.0,1472.3915176391602
NCA+PSO,3,0.53,0.3476176199891176,1423.5873441696167
NCA+PSO,3,0.78,0.0,1540.8905470371246
NCA+PSO,3,0.9,0.0,1515.0402398109436
NCA+PSO,3,0.91,0.0,1452.7614886760712
NCA+PSO,4,0.46,0.0,1423.4789292812347
NCA+PSO,4,0.51,0.3322422229317342,1208.347911119461
NCA+PSO,4,0.85,0.0,1451.5452542304993
NCA+PSO,4,0.81,0.0,1422.6225311756134
NCA+PSO,4,0.9,0.0,1292.4204092025757
NCA+PSO,5,0.42,0.0,1487.2334702014923
NCA+PSO,5,0.6,0.4037385450044705,1429.7097210884094
NCA+PSO,5,0.83,0.0,1388.4245562553406
NCA+PSO,5,0.85,0.0,1455.8249416351318
NCA+PSO,5,0.88,0.0,1382.687932014465
